Technology,Gas Consumption (MWh/yr)
Boiler 375,13087.33741
Boiler 376,13470.87145
Boiler 377,14467.72831
Boiler 378,14710.10345
Boiler 379,14849.55928
Boiler 380,14935.65949
Boiler 381,14983.24421
Boiler 382,15333.94599
Boiler 383,16511.6654
Boiler 384,17547.32126
Boiler 385,17585.50886
Boiler 386,17585.63583
Boiler 387,17896.21955
Boiler 388,18143.66006
Boiler 389,18349.45099
Boiler 390,18629.89299
Boiler 391,18666.05517
Boiler 392,19134.31114
Boiler 393,19207.28783
Boiler 394,19758.50625
Boiler 395,19838.65827
Boiler 396,20460.96269
Boiler 397,20583.88107
Boiler 398,20854.15105
Boiler 399,21167.55509
Boiler 400,21300.16565
Boiler 401,22685.7
Boiler 402,22685.7
Boiler 403,22685.7
Boiler 404,22685.7
Boiler 405,22685.7
Boiler 406,22685.7
Boiler 407,22685.7
Boiler 408,22685.7
Boiler 409,22685.7
Boiler 410,22685.7
Boiler 411,22685.7
Boiler 412,22685.7
Boiler 413,22685.7
Boiler 414,22685.7
Boiler 415,22685.7
Boiler 416,22685.7
Boiler 417,22685.7
Boiler 418,22685.7
Boiler 419,22685.7
Boiler 420,22685.7
Boiler 421,22685.7
Boiler 422,22685.7
Boiler 423,22685.7
Boiler 424,22685.7
Boiler 425,24227.56692
Boiler 426,25081.9297
Boiler 427,26822.13842
Boiler 428,27241.59494
Boiler 429,27524.17649
Boiler 430,29791.55576
Boiler 431,32001.30123
Boiler 432,33752.2242
Boiler 433,37469.33304
Boiler 434,38180.86603
Boiler 435,40402.798
Boiler 436,40824.77604
Boiler 437,44195.96286
Boiler 438,44436.02231
Boiler 439,45659.22699
Boiler 440,46947.78565
Boiler 441,47396.80715
Boiler 442,49047.64945
Boiler 443,51028.21088
Boiler 444,52933.3
Boiler 445,52933.3
Boiler 446,52933.3
Boiler 447,52933.3
Boiler 448,52933.3
Boiler 449,52933.3
Boiler 450,52933.3
Boiler 451,52933.3
Boiler 452,52933.3
Boiler 453,54060.92498
Boiler 454,62086.75281
Boiler 455,65133.92779
Boiler 456,72776.51633
Boiler 457,74073.33442
Boiler 458,74282.92919
Boiler 459,78606
Boiler 460,78606
Boiler 461,78606
Boiler 462,78606
Boiler 463,90593.25207
Boiler 464,106790.8732
Boiler 465,144819.7094
Boiler 466,157261.2173
Boiler 467,162183.2595
Boiler 468,166451.24
Boiler 469,179255.1816
Boiler 470,190260.2855
Boiler 471,203785.9099
Boiler 472,113577.5968
Boiler 473,113577.5968
Boiler 474,121450.6334
Boiler 475,121450.6334
Boiler 476,149379.318
Boiler 477,149379.318
Boiler 478,165859.5907
Boiler 479,165859.5907
Boiler 480,166661.837
Boiler 481,166661.837
Boiler 482,149296.6381
Boiler 483,149296.6381
Boiler 484,149296.6381
Boiler 485,168935.5613
Boiler 486,168935.5613
Boiler 487,168935.5613
Boiler 488,208151.8094
Boiler 489,208151.8094
Boiler 490,208151.8094
